mesa_code,mesa_number,registered,country_code,country_name,dept_code,dept_name,prov_code,prov_name,mun_code,mun_name,localidad_code,localidad_name,recinto_code,recinto_name,AP,LyP_ADN,APB_SUMATE,LIBRE,FP,MAS_IPSP,UNIDAD,PDC,valid_votes,blank_votes,null_votes,votes_cast
100964,1,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25165,Escuela Técnica N° 17  DE  13  Brigadier General Cornelio Saavedra,20,0,3,10,3,3,10,36,85,3,40,128
100974,2,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25165,Escuela Técnica N° 17  DE  13  Brigadier General Cornelio Saavedra,19,1,3,9,3,5,2,33,75,1,44,120
100984,3,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25165,Escuela Técnica N° 17  DE  13  Brigadier General Cornelio Saavedra,16,0,6,15,0,2,11,22,72,1,40,113
100994,4,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25165,Escuela Técnica N° 17  DE  13  Brigadier General Cornelio Saavedra,22,1,3,13,1,2,7,24,73,2,51,126
101004,5,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25165,Escuela Técnica N° 17  DE  13  Brigadier General Cornelio Saavedra,18,0,7,9,2,5,8,38,87,0,54,141
101014,6,230,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25165,Escuela Técnica N° 17  DE  13  Brigadier General Cornelio Saavedra,13,0,4,6,1,2,1,19,46,2,39,87
101024,1,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25166,Escuela De Jornada Completa Nº 18 D.E. 20 República de Corea ,19,1,5,9,2,3,10,17,66,0,35,101
101034,2,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25166,Escuela De Jornada Completa Nº 18 D.E. 20 República de Corea ,27,0,12,12,0,2,8,19,80,2,39,121
101044,3,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25166,Escuela De Jornada Completa Nº 18 D.E. 20 República de Corea ,15,1,6,13,2,2,7,16,62,1,49,112
101054,4,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25166,Escuela De Jornada Completa Nº 18 D.E. 20 República de Corea ,19,0,2,13,2,3,6,25,70,1,50,121
101064,5,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25166,Escuela De Jornada Completa Nº 18 D.E. 20 República de Corea ,18,0,10,15,3,2,9,25,82,1,49,132
101074,6,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25166,Escuela De Jornada Completa Nº 18 D.E. 20 República de Corea ,12,1,9,12,2,3,7,21,67,5,32,104
101084,7,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25166,Escuela De Jornada Completa Nº 18 D.E. 20 República de Corea ,12,2,4,11,3,2,7,12,53,4,37,94
